gene1	gene2	ModuleOmics score	ME score	PPI score	CoExpression score	CoRegulation score
LRP1-Mut	TP53-Mut	0.474953719505166	1	0.899814878020664	0	0
N4BP2-Mut	PIK3CA-Mut	0.400032153359659	1	0.600128613438635	0	0
MUC16-Mut	DNAH11-Mut	0.374854723189922	0	0.659115618734616	0.117647058823529	0
ERBB3-Mut	TP53-Mut	0.434501515559062	1	0.738006062236247	0	0
SYNE2-Mut	SRCAP-Mut	0.449433437614859	0	0.846753358302574	0.950980392156863	0
TTN-Mut	ITSN2-Mut	0.448619044282353	0.859193184610176	0.620313464176976	0	0
PIK3R1-Mut	TP53-Mut	0.407211563455701	0	0.430405211443658	0.686274509803921	0
ERBB3-Mut	SRCAP-Mut	0.403226298622774	0	0.628163630651137	0	0
ITSN2-Mut	TP53-Mut	0.227532204217345	0	0.769645194174648	0	0
PIK3CA-Mut	MUC16-Mut	0.369942485607275	1	0.479769942429099	0	0
PIK3CA-Mut	TTN-Mut	0.369876662196788	0.859193184610176	0.620313464176976	0	0
PIK3CA-Mut	DNAH11-Mut	0.366279036913639	0	0.628163630651137	0	0
ERBB3-Mut	MUC16-Mut	0.252177684037126	0	0.612905194491095	0.176470588235294	0
TTN-Mut	TP53-Mut	0.217060606540073	0	0.86824242616029	0	0
PIK3R1-Mut	ERBB3-Mut	0.401310276829358	0	0.628163630651137	0	0
MUC16-Mut	TP53-Mut	0.211688339575644	0	0.612905194491095	0.176470588235294	0
ERBB3-Mut	DNAH11-Mut	0.279169930311895	0	0.81965186218245	0	0
MUC16-Mut	SYNE2-Mut	0.197343945681597	0	0.628163630651137	0	0
LRP1-Mut	ERBB3-Mut	0.242500186478184	0	0.81965186218245	0	0
SRCAP-Mut	DNAH11-Mut	0.276381732433079	0	0.628163630651137	0	0
