gene1	gene2	gene3	ModuleOmics score	ME score	PPI score	CoExpression score	CoRegulation score
PIK3R1-Mut	ERBB3-Mut	TP53-Mut	0.476605024475448	0.843454823309925	0.662965274591867	0.4	0
TP53-Mut	SYNE2-Mut	DNAH11-Mut	0.379285595829308	0.833573775044119	0.633568608273113	0.05	0
PIK3CA-Mut	ERBB3-Mut	SRCAP-Mut	0.523848007252353	0.683167637021139	0.754401849628939	0	0
LRP1-Mut	TP53-Mut	SYNE2-Mut	0.417241988920352	0.833573775042475	0.752892719315302	0.075	0
ERBB3-Mut	ITSN2-Mut	TP53-Mut	0.423092515447153	0.862885788075004	0.829484273713607	0	0
PIK3CA-Mut	TTN-Mut	ITSN2-Mut	0.369291471136634	0.755314750503424	0.721851134043113	0	0
PIK3CA-Mut	SYNE2-Mut	SRCAP-Mut	0.528795758768122	1	0.711016368405822	0.404166666666667	0
N4BP2-Mut	PIK3CA-Mut	ERBB3-Mut	0.404049849225499	1	0.616199396901997	0	0
LRP1-Mut	PIK3R1-Mut	TP53-Mut	0.462095220990082	0.89715898127044	0.951221902689889	0	0
PIK3R1-Mut	ITSN2-Mut	TP53-Mut	0.413937098653861	0.699451759059658	0.693796829382656	0	0
PIK3CA-Mut	TTN-Mut	ERBB3-Mut	0.35939237166252	0.683167637021139	0.754401849628939	0	0
MUC16-Mut	TP53-Mut	SYNE2-Mut	0.415366623589444	0.833573775042475	0.752892719315302	0.075	0
PIK3R1-Mut	ERBB3-Mut	SRCAP-Mut	0.378236989142125	0	0.878768042453188	0.425	0
TTN-Mut	ITSN2-Mut	TP53-Mut	0.237517240293121	0	0.950068961172486	0	0
SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.345364117922581	0	0.723123138356989	0.658333333333333	0
ITSN2-Mut	MUC16-Mut	TP53-Mut	0.391583058183851	0.699451759060414	0.86688047367499	0	0
LRP1-Mut	ERBB3-Mut	TP53-Mut	0.453986280253967	0.843454823309925	0.972490297705942	0	0
ITSN2-Mut	TP53-Mut	DNAH11-Mut	0.348312147110578	0.699451759059658	0.693796829382656	0	0
PIK3CA-Mut	SRCAP-Mut	DNAH11-Mut	0.428586147152322	0.683167637021139	0.650735100763897	0	0
N4BP2-Mut	PIK3R1-Mut	ITSN2-Mut	0.395673303119089	1	0.582693212476356	0	0
LRP1-Mut	TP53-Mut	SRCAP-Mut	0.448428866926911	0	0.878768042453188	0.425	0
N4BP2-Mut	PIK3CA-Mut	SRCAP-Mut	0.38318246714186	0	0.808979743717272	0	0
ERBB3-Mut	SRCAP-Mut	DNAH11-Mut	0.341325561658478	0	0.330799826996833	1	0
N4BP2-Mut	PIK3CA-Mut	PIK3R1-Mut	0.360905163008719	0.802216590582809	0.641404061452066	0	0
N4BP2-Mut	LRP1-Mut	TP53-Mut	0.357555496984955	0.706807864714767	0.723414123225052	0	0
PIK3CA-Mut	TTN-Mut	SRCAP-Mut	0.333475684446259	0.683167637021139	0.650735100763897	0	0
PIK3R1-Mut	TP53-Mut	SRCAP-Mut	0.414736767688636	0.854241525996675	0.549732933323242	0.0583333333333333	0
ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.332699956749208	0	0.878768042453188	0.425	0
ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.301410712146514	0	0.808979743717272	0	0
N4BP2-Mut	PIK3CA-Mut	ITSN2-Mut	0.353298452578985	0.802216590582809	0.610977219733129	0	0
PIK3CA-Mut	ERBB3-Mut	TP53-Mut	0.353296496282529	0.619044902692013	0.794141082438103	0	0
LRP1-Mut	ERBB3-Mut	SRCAP-Mut	0.325942010613297	0	0.727077772232591	0.425	0
PIK3R1-Mut	TP53-Mut	SYNE2-Mut	0.365576948163313	0.854241525996675	0.549732933323242	0.0583333333333333	0
ERBB3-Mut	ITSN2-Mut	SRCAP-Mut	0.275631291197326	0	0.808979743717272	0	0
N4BP2-Mut	PIK3CA-Mut	LRP1-Mut	0.340962081284044	0.802216590582809	0.561631734553366	0	0
