gene1	gene2	gene3	gene4	ModuleOmics score	ME score	PPI score	CoExpression score	CoRegulation score
PIK3R1-Mut	TTN-Mut	ERBB3-Mut	ITSN2-Mut	0.510568805711504	0.779285472643646	0.774790764768249	0.236453201970443	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	0.6131219979574	0.902220211577495	0.975768922958236	0.236453201970443	0
PIK3CA-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.472269336604481	0.786102673050082	0.327826036566535	0.463054187192118	0
N4BP2-Mut	PIK3R1-Mut	ITSN2-Mut	SRCAP-Mut	0.449885219041718	0.776952687367897	0.825097812191649	0.0886699507389163	0
LRP1-Mut	PIK3R1-Mut	TP53-Mut	SRCAP-Mut	0.489888960540991	0.762186706209112	0.947373618803133	0.0886699507389163	0
PIK3CA-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.558341407169785	0.786102673050122	0.677933599950219	0.389162561576355	0
PIK3CA-Mut	LRP1-Mut	SYNE2-Mut	SRCAP-Mut	0.456265032593929	0.786102673049884	0.614417471349091	0.238916256157635	0
PIK3R1-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.609501444877104	1	0.711513954447171	0.362068965517241	0
N4BP2-Mut	PIK3CA-Mut	ERBB3-Mut	SRCAP-Mut	0.529111044811877	1	0.650419206709845	0.251231527093596	0
PIK3CA-Mut	TTN-Mut	ERBB3-Mut	ITSN2-Mut	0.364988831425543	0.5982327544681	0.843651503804427	0	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	TP53-Mut	0.52000971928264	0.764613911541862	0.811474158241865	0.236453201970443	0
PIK3CA-Mut	ERBB3-Mut	SRCAP-Mut	DNAH11-Mut	0.472269336604481	0.786102673050082	0.327826036566535	0.463054187192118	0
PIK3CA-Mut	ERBB3-Mut	ITSN2-Mut	SRCAP-Mut	0.449885219041718	0.776952687367897	0.825097812191649	0.0886699507389163	0
LRP1-Mut	MUC16-Mut	TP53-Mut	DNAH11-Mut	0.504584945686308	0.739520256336455	0.774940656636427	0.24384236453202	0
PIK3CA-Mut	PIK3R1-Mut	SYNE2-Mut	SRCAP-Mut	0.429161354936074	0.853745880352859	0.666040847946406	0.120689655172414	0
N4BP2-Mut	PIK3CA-Mut	SYNE2-Mut	SRCAP-Mut	0.456265032593929	0.786102673049884	0.614417471349091	0.238916256157635	0
PIK3CA-Mut	PIK3R1-Mut	ERBB3-Mut	SRCAP-Mut	0.480955584774437	0	0.73457710762958	0.576354679802956	0
PIK3CA-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.355703428981947	0.598232754468266	0.817667434213696	0	0
PIK3R1-Mut	ERBB3-Mut	TP53-Mut	DNAH11-Mut	0.503827419563191	0.702975969184331	0.528915157496183	0.426108374384236	0
PIK3CA-Mut	ERBB3-Mut	MUC16-Mut	SRCAP-Mut	0.472269336604481	0.786102673050082	0.327826036566535	0.463054187192118	0
ERBB3-Mut	ITSN2-Mut	TP53-Mut	SRCAP-Mut	0.449885219041718	0.776952687367897	0.825097812191649	0.0886699507389163	0
LRP1-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	0.432356385749677	0.762186706209112	0.866488954299233	0.0344827586206896	0
PIK3CA-Mut	ITSN2-Mut	SRCAP-Mut	DNAH11-Mut	0.429161354936074	0.853745880352859	0.666040847946406	0.120689655172414	0
N4BP2-Mut	PIK3CA-Mut	ERBB3-Mut	ITSN2-Mut	0.280192087891417	0.812324047020923	0.391033812368928	0.0443349753694581	0
N4BP2-Mut	ERBB3-Mut	ITSN2-Mut	SRCAP-Mut	0.425303345333575	0	0.578841083123476	0.576354679802956	0
N4BP2-Mut	PIK3CA-Mut	PIK3R1-Mut	SRCAP-Mut	0.355703428981947	0.598232754468266	0.817667434213696	0	0
LRP1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	0.484382910126877	0.702975969185166	0.911483425050998	0.130541871921182	0
LRP1-Mut	ERBB3-Mut	MUC16-Mut	DNAH11-Mut	0.427833345738592	0	0.629619117864276	0.54679802955665	0
PIK3R1-Mut	ITSN2-Mut	TP53-Mut	SRCAP-Mut	0.449885219041718	0.776952687367897	0.825097812191649	0.0886699507389163	0
PIK3R1-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	0.432356385749677	0.762186706209112	0.866488954299233	0.0344827586206896	0
N4BP2-Mut	PIK3CA-Mut	ITSN2-Mut	SRCAP-Mut	0.297716627602975	0.847779093447795	0.302383094681436	0.120689655172414	0
N4BP2-Mut	PIK3CA-Mut	MUC16-Mut	SYNE2-Mut	0.280192087891417	0.812324047020923	0.391033812368928	0.0443349753694581	0
N4BP2-Mut	PIK3R1-Mut	ERBB3-Mut	SRCAP-Mut	0.425303345333575	0	0.578841083123476	0.576354679802956	0
N4BP2-Mut	PIK3CA-Mut	LRP1-Mut	SRCAP-Mut	0.355703428981947	0.598232754468266	0.817667434213696	0	0
PIK3R1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	0.481336796853308	0.702975969185166	0.527883577850542	0.38423645320197	0
PIK3CA-Mut	LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	0.383097987898218	0	0.963263089778338	0.236453201970443	0
PIK3CA-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	0.266206848076746	0	0.950850858466704	0	0
LRP1-Mut	PIK3R1-Mut	TP53-Mut	SYNE2-Mut	0.432356385749677	0.762186706209112	0.866488954299233	0.0344827586206896	0
N4BP2-Mut	PIK3CA-Mut	SRCAP-Mut	DNAH11-Mut	0.297716627602975	0.847779093447795	0.302383094681436	0.120689655172414	0
LRP1-Mut	MUC16-Mut	TP53-Mut	SYNE2-Mut	0.401317135483139	0.675451670441301	0.524590743938989	0	0
PIK3CA-Mut	ERBB3-Mut	TP53-Mut	SRCAP-Mut	0.35075611507994	0	0.850909223483834	0.251231527093596	0
