gene1	gene2	gene3	gene4	gene5	ModuleOmics score	ME score	PPI score	CoExpression score	CoRegulation score
LRP1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	DNAH11-Mut	0.6924997109762	0.939015786954844	0.812916750481185	0.386759581881533	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	SYNE2-Mut	0.493128361309437	0	0.943097806604198	0.407665505226481	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	SRCAP-Mut	0.790351638983044	0.971264568454892	0.973487138328353	0.407665505226481	0
N4BP2-Mut	PIK3CA-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.638096195272957	0.846137503450108	0.72699341490165	0.407665505226481	0
LRP1-Mut	PIK3R1-Mut	MUC16-Mut	TP53-Mut	DNAH11-Mut	0.552053571844158	1	0.727900956134109	0.196864111498258	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	TP53-Mut	SRCAP-Mut	0.677592248567934	0.764075716736898	0.861947710193905	0.407665505226481	0
LRP1-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.555578253666232	0	0.759611069028783	0.646341463414634	0
LRP1-Mut	PIK3R1-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	0.624190786148241	0.761040661209293	0.951096783020102	0.25609756097561	0
LRP1-Mut	PIK3R1-Mut	TP53-Mut	SRCAP-Mut	DNAH11-Mut	0.289930934760413	0	0.967882000256442	0.0627177700348432	0
PIK3CA-Mut	TTN-Mut	ERBB3-Mut	MUC16-Mut	DNAH11-Mut	0.485168919557189	0.718916393459199	0.508083264422779	0.386759581881533	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	0.659439761852129	0.988751035406003	0.864140279663029	0.27177700348432	0
LRP1-Mut	PIK3R1-Mut	TTN-Mut	ERBB3-Mut	SRCAP-Mut	0.493128361309437	0	0.943097806604198	0.407665505226481	0
N4BP2-Mut	LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	0.563960192960655	0.799372647326006	0.916913390663516	0.167247386759582	0
N4BP2-Mut	PIK3CA-Mut	PIK3R1-Mut	ERBB3-Mut	SRCAP-Mut	0.638096195272957	0.846137503450108	0.72699341490165	0.407665505226481	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.348892015586818	0	0.776969163749016	0.301393728222996	0
PIK3R1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	DNAH11-Mut	0.635779539619438	0.939015786954844	0.43812995951742	0.578397212543554	0
ERBB3-Mut	MUC16-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.554047923398321	0	0.287506279597621	1	0
PIK3R1-Mut	ITSN2-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	0.59314319673431	0.804220457173095	0.858235488870892	0.25609756097561	0
LRP1-Mut	PIK3R1-Mut	MUC16-Mut	TP53-Mut	SRCAP-Mut	0.289930934760413	0	0.967882000256442	0.0627177700348432	0
PIK3CA-Mut	TTN-Mut	MUC16-Mut	SYNE2-Mut	DNAH11-Mut	0.381908351873135	0.718916393459079	0.503080467306929	0.224738675958188	0
LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	TP53-Mut	DNAH11-Mut	0.661277918240629	0.988751035407212	0.828789798155077	0.301393728222996	0
PIK3CA-Mut	ERBB3-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.512847825898782	0	0.634013452637326	0.672473867595819	0
PIK3CA-Mut	ERBB3-Mut	ITSN2-Mut	SRCAP-Mut	DNAH11-Mut	0.609594949553754	0.843383474947986	0.698059613354105	0.385017421602787	0
PIK3CA-Mut	LRP1-Mut	PIK3R1-Mut	ERBB3-Mut	DNAH11-Mut	0.348892015586818	0	0.776969163749016	0.301393728222996	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	TP53-Mut	DNAH11-Mut	0.535870320866738	0.798727677035182	0.6796840430558	0.301393728222996	0
ERBB3-Mut	MUC16-Mut	TP53-Mut	SRCAP-Mut	DNAH11-Mut	0.513151179268714	0	0.588467291484857	0.707317073170732	0
PIK3R1-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.569875318222136	0	0.436675289184403	0.912891986062718	0
LRP1-Mut	PIK3R1-Mut	TTN-Mut	TP53-Mut	SRCAP-Mut	0.289930934760413	0	0.967882000256442	0.0627177700348432	0
PIK3CA-Mut	LRP1-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.304932598445673	0	0.858928562610271	0.168989547038327	0
LRP1-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	SYNE2-Mut	0.562207276930034	0.912105934663831	0.806324775607227	0.195121951219512	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	0.512847825898782	0	0.634013452637326	0.672473867595819	0
PIK3CA-Mut	PIK3R1-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.521272329354032	0	0.651945403264876	0.672473867595819	0
PIK3CA-Mut	ERBB3-Mut	MUC16-Mut	TP53-Mut	DNAH11-Mut	0.344788700403003	0	0.655065000566628	0.386759581881533	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	MUC16-Mut	TP53-Mut	0.525429293424823	0.798727677035018	0.696722910139243	0.27177700348432	0
LRP1-Mut	ERBB3-Mut	MUC16-Mut	SRCAP-Mut	DNAH11-Mut	0.498353452506467	0	0.556969636209374	0.707317073170732	0
PIK3R1-Mut	ERBB3-Mut	TP53-Mut	SYNE2-Mut	DNAH11-Mut	0.536940682460292	0.912105934664234	0.456915721176212	0.418118466898955	0
LRP1-Mut	ERBB3-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	0.248452562119526	0	0.962738692623029	0	0
PIK3CA-Mut	ITSN2-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.304932598445673	0	0.858928562610271	0.168989547038327	0
LRP1-Mut	ERBB3-Mut	TP53-Mut	SYNE2-Mut	DNAH11-Mut	0.549077328163151	0.912105934664234	0.752971539332861	0.214285714285714	0
PIK3R1-Mut	TTN-Mut	ERBB3-Mut	SYNE2-Mut	SRCAP-Mut	0.512147779234968	0	0.632523370488369	0.672473867595819	0
PIK3CA-Mut	PIK3R1-Mut	ERBB3-Mut	SRCAP-Mut	DNAH11-Mut	0.470130210282778	0	0.603136426711286	0.627177700348432	0
PIK3CA-Mut	LRP1-Mut	ERBB3-Mut	MUC16-Mut	DNAH11-Mut	0.338177829208404	0	0.640993451246677	0.386759581881533	0
PIK3R1-Mut	ERBB3-Mut	ITSN2-Mut	TP53-Mut	SYNE2-Mut	0.4976817980045	0.764075716736898	0.670696111761382	0.263066202090592	0
MUC16-Mut	TP53-Mut	SYNE2-Mut	SRCAP-Mut	DNAH11-Mut	0.482458300254967	0	0.749476188142226	0.536585365853658	0
