X	N4BP2	PIK3CA	LRP1	PIK3R1	TTN	ERBB3	ITSN2	MUC16	TP53	SYNE2	SRCAP	DNAH11
DNAH11	0.411545	0.531007	0.502438	0.553133	0.448038	0.536539	0.555813	0.356107	0.5832	0.380832	0.46792100000000003	0.0
N4BP2	0.0	0.6525850000000001	0.613721	0.679776	0.548867	0.6593829999999999	0.632738	0.42451099999999997	0.690235	0.509483	0.6059	0.411545
ITSN2	0.632738	0.8494290000000001	0.803563	0.8848219999999999	0.70297	0.8582780000000001	0.0	0.569531	0.796176	0.5946640000000001	0.7194149999999999	0.555813
MUC16	0.42451099999999997	0.61161	0.550235	0.605751	0.481354	0.587579	0.569531	0.0	0.556417	0.43276899999999996	0.482663	0.356107
TTN	0.548867	0.717769	0.6791520000000001	0.747676	0.0	0.7252460000000001	0.70297	0.481354	0.7682399999999999	0.5328890000000001	0.624054	0.448038
SYNE2	0.509483	0.6386	0.5786640000000001	0.632772	0.5328890000000001	0.613789	0.5946640000000001	0.43276899999999996	0.653004	0.0	0.542312	0.380832
LRP1	0.613721	0.8204799999999999	0.0	0.854667	0.6791520000000001	0.8290270000000001	0.803563	0.550235	0.8053020000000001	0.5786640000000001	0.680999	0.502438
SRCAP	0.6059	0.74198	0.680999	0.772896	0.624054	0.7497090000000001	0.7194149999999999	0.482663	0.7492260000000001	0.542312	0.0	0.46792100000000003
PIK3CA	0.6525850000000001	0.0	0.8204799999999999	0.96	0.717769	0.9312	0.8494290000000001	0.61161	0.8210559999999999	0.6386	0.74198	0.531007
TP53	0.690235	0.8210559999999999	0.8053020000000001	0.846985	0.7682399999999999	0.821575	0.796176	0.556417	0.0	0.653004	0.7492260000000001	0.5832
PIK3R1	0.679776	0.96	0.854667	0.0	0.747676	0.97	0.8848219999999999	0.605751	0.846985	0.632772	0.772896	0.553133
ERBB3	0.6593829999999999	0.9312	0.8290270000000001	0.97	0.7252460000000001	0.0	0.8582780000000001	0.587579	0.821575	0.613789	0.7497090000000001	0.536539
